nNoBorne,sStatut,sNomRue,sZoneGroupeCode,nLongitude,nLatitude,sTypeExploitation
10628,A,René-Lévesque,Q-S-W-Y,-73.556060515791103000,45.515311332753733000,Régulier Payez-Partez
10632,A,Viger,H-N-P-Q,-73.555421527355350000,45.512145829737598000,Régulier Payez-Partez
10633,A,Viger,H-N-Q-S,-73.554631201247830000,45.513022051412271000,Régulier Payez-Partez
10635,A,Saint-Denis,G-PB-PC-S,-73.565411109913526000,45.515908792215320000,Régulier Payez-Partez
10638,A,Saint-Denis,G-H-Q-S,-73.563484245721341000,45.515037270250410000,Régulier Payez-Partez
10640,A,Saint-Denis,G-H-Q-S,-73.562981536628740000,45.514810059635799000,Régulier Payez-Partez
10642,A,Saint-Denis,G-H-Q-S,-73.563469750836276000,45.515157209371601000,Régulier Payez-Partez
10648,A,Saint-Denis,H-N-Q-S,-73.560225391913022000,45.513690176083315000,Régulier Payez-Partez
10657,A,Berri,G-PC-S-W,-73.566620809909139000,45.517616312330105000,Régulier Payez-Partez
10660,A,Berri,G-PC-S-W,-73.565587508893842000,45.517635298326688000,Régulier Payez-Partez
10663,A,Berri,G-H-Q-S,-73.561912574870334000,45.515569110878950000,Régulier Payez-Partez
10664,A,Berri,Q-S-W-Y,-73.561892260507094000,45.515802007220280000,Régulier Payez-Partez
10669,A,Berri,H-N-Q-S,-73.559109216421859000,45.514243216158640000,Régulier Payez-Partez
10671,A,Berri,H-N-P-Q,-73.556869229283194000,45.513213045755279000,Régulier Payez-Partez
10672,A,Berri,H-N-P-Q,-73.556280834606994000,45.513206525842030000,Régulier Payez-Partez
10673,A,Labelle,H-N-Q-S,-73.558684265575295000,45.514765584757207000,Régulier Payez-Partez
10675,A,Saint-Hubert,Q-S-W-Y,-73.560630123573930000,45.516309469657713000,Régulier Payez-Partez
10676,A,Saint-Hubert,G-H-Q-S,-73.559791080276753000,45.515783630915749000,Régulier Payez-Partez
10677,A,Saint-Hubert,Q-S-W-Y,-73.559685222049595000,45.515886124175267000,Régulier Payez-Partez
10678,A,Saint-Hubert,H-N-Q-S,-73.558422767091798000,45.515151156754435000,Régulier Payez-Partez
10679,A,Saint-Hubert,H-N-Q-S,-73.557258247825402000,45.514620354201732000,Régulier Payez-Partez
10681,A,Saint-Hubert,Q-S-W-Y,-73.557562748539240000,45.514917220742248000,Régulier Payez-Partez
10682,A,Saint-Hubert,H-N-Q-S,-73.555784805484834000,45.513934780885329000,Régulier Payez-Partez
10687,A,Sainte-Catherine,Q-S-W-Y,-73.558236352574241000,45.516312226833065000,Régulier Payez-Partez
10688,A,Ontario,G-PB-PC-S,-73.565662889721906000,45.514874196752025000,Régulier Payez-Partez
10689,A,Ontario,G-S-T-V,-73.565514474509726000,45.514823701761635000,Régulier Payez-Partez
10691,A,René-Lévesque,N-P-Q-Y,-73.555904108570317000,45.514970343274776000,Régulier Payez-Partez
10694,A,Duke,K-L-M-P,-73.553717729945831000,45.495596758419254000,Régulier Payez-Partez
10696,A,Prince,K-L-M-P,-73.556671787120692000,45.497464302438757000,Régulier Payez-Partez
10697,A,Prince,K-L-M-P,-73.555426516148884000,45.496971091740235000,Régulier Payez-Partez
